"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","P/L"
"34","2025-02-03"," 4:00:00 PM","2025-02-03"," 4:45:00 PM","","","","","","","12.04"
"34.1","2025-02-03"," 4:00:00 PM","2025-02-03"," 4:45:00 PM","CE","95200","Sell","0.01","264.35","459.20","-165.75"
"34.2","2025-02-03"," 4:00:00 PM","2025-02-03"," 4:45:00 PM","PE","94800","Sell","0.01","227.16","18.15","177.65"
"35","2025-02-04"," 4:00:00 PM","2025-02-04"," 4:39:00 PM","","","","","","","-46.43"
"35.1","2025-02-04"," 4:00:00 PM","2025-02-04"," 4:39:00 PM","CE","99000","Sell","0.01","185.86","450.52","-225.25"
"35.2","2025-02-04"," 4:00:00 PM","2025-02-04"," 4:39:00 PM","PE","98600","Sell","0.01","228.29","18.25","178.50"
"36","2025-02-05"," 4:00:00 PM","2025-02-05"," 4:48:00 PM","","","","","","","80.41"
"36.1","2025-02-05"," 4:00:00 PM","2025-02-05"," 4:48:00 PM","CE","98200","Sell","0.01","60.68","60.34","0.00"
"36.2","2025-02-05"," 4:00:00 PM","2025-02-05"," 4:48:00 PM","PE","97800","Sell","0.01","102.46","8.20","79.90"
"37","2025-02-06"," 4:00:00 PM","2025-02-06"," 4:47:00 PM","","","","","","","80.55"
"37.1","2025-02-06"," 4:00:00 PM","2025-02-06"," 4:47:00 PM","CE","99000","Sell","0.01","130.98","10.50","102.00"
"37.2","2025-02-06"," 4:00:00 PM","2025-02-06"," 4:47:00 PM","PE","98600","Sell","0.01","80.18","105.90","-22.10"
"38","2025-02-07"," 4:00:00 PM","2025-02-07"," 4:46:00 PM","","","","","","","48.31"
"38.1","2025-02-07"," 4:00:00 PM","2025-02-07"," 4:46:00 PM","CE","97600","Sell","0.01","104.05","126.10","-18.70"
"38.2","2025-02-07"," 4:00:00 PM","2025-02-07"," 4:46:00 PM","PE","97200","Sell","0.01","85.73","6.85","67.15"
"39","2025-02-08"," 4:00:00 PM","2025-02-08"," 4:46:00 PM","","","","","","","35.98"
"39.1","2025-02-08"," 4:00:00 PM","2025-02-08"," 4:46:00 PM","CE","96400","Sell","0.01","47.94","3.85","37.40"
"39.2","2025-02-08"," 4:00:00 PM","2025-02-08"," 4:46:00 PM","PE","96000","Sell","0.01","37.89","39.65","-1.70"
"40","2025-02-09"," 4:00:00 PM","2025-02-09"," 4:31:00 PM","","","","","","","-29.93"
"40.1","2025-02-09"," 4:00:00 PM","2025-02-09"," 4:31:00 PM","CE","97000","Sell","0.01","39.96","99.90","-51.00"
"40.2","2025-02-09"," 4:00:00 PM","2025-02-09"," 4:31:00 PM","PE","96600","Sell","0.01","37.82","13.09","21.25"
"41","2025-02-10"," 4:00:00 PM","2025-02-10"," 4:46:00 PM","","","","","","","7.36"
"41.1","2025-02-10"," 4:00:00 PM","2025-02-10"," 4:46:00 PM","CE","98200","Sell","0.01","79.94","6.40","62.90"
"41.2","2025-02-10"," 4:00:00 PM","2025-02-10"," 4:46:00 PM","PE","97800","Sell","0.01","131.73","196.61","-55.25"
"42","2025-02-11"," 4:00:00 PM","2025-02-11"," 4:56:00 PM","","","","","","","95.94"
"42.1","2025-02-11"," 4:00:00 PM","2025-02-11"," 4:56:00 PM","CE","98200","Sell","0.01","50.74","33.21","15.30"
"42.2","2025-02-11"," 4:00:00 PM","2025-02-11"," 4:56:00 PM","PE","97800","Sell","0.01","103.64","8.30","80.75"
"43","2025-02-12"," 4:00:00 PM","2025-02-12"," 4:53:00 PM","","","","","","","48.28"
"43.1","2025-02-12"," 4:00:00 PM","2025-02-12"," 4:53:00 PM","CE","96200","Sell","0.01","106.44","95.34","9.35"
"43.2","2025-02-12"," 4:00:00 PM","2025-02-12"," 4:53:00 PM","PE","95800","Sell","0.01","49.65","3.95","39.10"
"44","2025-02-13"," 4:00:00 PM","2025-02-13"," 5:03:00 PM","","","","","","","13.20"
"44.1","2025-02-13"," 4:00:00 PM","2025-02-13"," 5:03:00 PM","CE","96400","Sell","0.01","87.81","7.00","68.85"
"44.2","2025-02-13"," 4:00:00 PM","2025-02-13"," 5:03:00 PM","PE","96000","Sell","0.01","87.12","152.40","-55.25"
"45","2025-02-14"," 4:00:00 PM","2025-02-14"," 5:00:00 PM","","","","","","","83.64"
"45.1","2025-02-14"," 4:00:00 PM","2025-02-14"," 5:00:00 PM","CE","97200","Sell","0.01","81.83","6.55","63.75"
"45.2","2025-02-14"," 4:00:00 PM","2025-02-14"," 5:00:00 PM","PE","96800","Sell","0.01","78.54","55.42","19.55"
"46","2025-02-15"," 4:00:00 PM","2025-02-15"," 5:06:00 PM","","","","","","","32.95"
"46.1","2025-02-15"," 4:00:00 PM","2025-02-15"," 5:06:00 PM","CE","97800","Sell","0.01","21.42","5.39","13.60"
"46.2","2025-02-15"," 4:00:00 PM","2025-02-15"," 5:06:00 PM","PE","97400","Sell","0.01","24.74","2.00","19.55"
"47","2025-02-16"," 4:00:00 PM","2025-02-16"," 4:40:00 PM","","","","","","","9.91"
"47.1","2025-02-16"," 4:00:00 PM","2025-02-16"," 4:40:00 PM","CE","97400","Sell","0.01","33.97","6.12","23.80"
"47.2","2025-02-16"," 4:00:00 PM","2025-02-16"," 4:40:00 PM","PE","97000","Sell","0.01","10.81","27.00","-13.60"
"48","2025-02-17"," 4:00:00 PM","2025-02-17"," 5:00:00 PM","","","","","","","92.91"
"48.1","2025-02-17"," 4:00:00 PM","2025-02-17"," 5:00:00 PM","CE","96400","Sell","0.01","84.11","6.75","65.45"
"48.2","2025-02-17"," 4:00:00 PM","2025-02-17"," 5:00:00 PM","PE","96000","Sell","0.01","43.30","11.36","27.20"
"49","2025-02-18"," 4:00:00 PM","2025-02-18"," 5:06:00 PM","","","","","","","61.10"
"49.1","2025-02-18"," 4:00:00 PM","2025-02-18"," 5:06:00 PM","CE","96000","Sell","0.01","23.75","1.90","18.70"
"49.2","2025-02-18"," 4:00:00 PM","2025-02-18"," 5:06:00 PM","PE","95600","Sell","0.01","60.79","10.76","42.50"
"50","2025-02-19"," 4:00:00 PM","2025-02-19"," 4:57:00 PM","","","","","","","44.55"
"50.1","2025-02-19"," 4:00:00 PM","2025-02-19"," 4:57:00 PM","CE","96600","Sell","0.01","33.29","2.65","26.35"
"50.2","2025-02-19"," 4:00:00 PM","2025-02-19"," 4:57:00 PM","PE","96200","Sell","0.01","73.87","52.10","18.70"
"51","2025-02-20"," 4:00:00 PM","2025-02-20"," 4:57:00 PM","","","","","","","68.23"
"51.1","2025-02-20"," 4:00:00 PM","2025-02-20"," 4:57:00 PM","CE","97400","Sell","0.01","56.95","16.03","34.85"
"51.2","2025-02-20"," 4:00:00 PM","2025-02-20"," 4:57:00 PM","PE","97000","Sell","0.01","42.75","3.40","33.15"
"52","2025-02-21"," 4:00:00 PM","2025-02-21"," 4:48:00 PM","","","","","","","-2.46"
"52.1","2025-02-21"," 4:00:00 PM","2025-02-21"," 4:48:00 PM","CE","98500","Sell","0.01","101.39","148.96","-40.80"
"52.2","2025-02-21"," 4:00:00 PM","2025-02-21"," 4:48:00 PM","PE","98200","Sell","0.01","48.58","3.90","38.25"
"53","2025-02-22"," 4:00:00 PM","2025-02-22"," 5:04:00 PM","","","","","","","51.34"
"53.1","2025-02-22"," 4:00:00 PM","2025-02-22"," 5:04:00 PM","CE","96800","Sell","0.01","20.89","1.65","16.15"
"53.2","2025-02-22"," 4:00:00 PM","2025-02-22"," 5:04:00 PM","PE","96400","Sell","0.01","55.76","14.60","34.85"
"54","2025-02-23"," 4:00:00 PM","2025-02-23"," 4:06:00 PM","","","","","","","4.12"
"54.1","2025-02-23"," 4:00:00 PM","2025-02-23"," 4:06:00 PM","CE","96400","Sell","0.01","25.51","6.31","16.15"
"54.2","2025-02-23"," 4:00:00 PM","2025-02-23"," 4:06:00 PM","PE","96000","Sell","0.01","9.55","23.90","-11.90"
"55","2025-02-24"," 4:00:00 PM","2025-02-24"," 5:01:00 PM","","","","","","","67.15"
"55.1","2025-02-24"," 4:00:00 PM","2025-02-24"," 5:01:00 PM","CE","95800","Sell","0.01","54.87","44.97","8.50"
"55.2","2025-02-24"," 4:00:00 PM","2025-02-24"," 5:01:00 PM","PE","95400","Sell","0.01","75.10","6.00","58.65"
"56","2025-02-25"," 4:00:00 PM","2025-02-25"," 5:08:00 PM","","","","","","","251.63"
"56.1","2025-02-25"," 4:00:00 PM","2025-02-25"," 5:08:00 PM","CE","88000","Sell","0.01","293.84","282.18","10.20"
"56.2","2025-02-25"," 4:00:00 PM","2025-02-25"," 5:08:00 PM","PE","87600","Sell","0.01","309.13","24.75","241.40"
"57","2025-02-26"," 4:00:00 PM","2025-02-26"," 4:53:00 PM","","","","","","","68.22"
"57.1","2025-02-26"," 4:00:00 PM","2025-02-26"," 4:53:00 PM","CE","89200","Sell","0.01","99.38","80.69","16.15"
"57.2","2025-02-26"," 4:00:00 PM","2025-02-26"," 4:53:00 PM","PE","88800","Sell","0.01","66.92","5.35","52.70"
"58","2025-02-27"," 4:00:00 PM","2025-02-27"," 4:23:00 PM","","","","","","","-64.57"
"58.1","2025-02-27"," 4:00:00 PM","2025-02-27"," 4:23:00 PM","CE","86600","Sell","0.01","113.30","283.25","-144.50"
"58.2","2025-02-27"," 4:00:00 PM","2025-02-27"," 4:23:00 PM","PE","86200","Sell","0.01","106.32","12.33","79.90"
"59","2025-02-28"," 4:00:00 PM","2025-02-28"," 4:56:00 PM","","","","","","","217.79"
"59.1","2025-02-28"," 4:00:00 PM","2025-02-28"," 4:56:00 PM","CE","80200","Sell","0.01","344.01","450.05","-90.10"
"59.2","2025-02-28"," 4:00:00 PM","2025-02-28"," 4:56:00 PM","PE","79800","Sell","0.01","393.76","31.50","307.70"
"60","2025-03-01"," 4:00:00 PM","2025-03-01"," 4:07:00 PM","","","","","","","17.47"
"60.1","2025-03-01"," 4:00:00 PM","2025-03-01"," 4:07:00 PM","CE","85400","Sell","0.01","109.33","39.01","59.50"
"60.2","2025-03-01"," 4:00:00 PM","2025-03-01"," 4:07:00 PM","PE","85000","Sell","0.01","33.18","82.95","-42.50"
"61","2025-03-02"," 4:00:00 PM","2025-03-02"," 4:41:00 PM","","","","","","","3.24"
"61.1","2025-03-02"," 4:00:00 PM","2025-03-02"," 4:41:00 PM","CE","86000","Sell","0.01","60.76","107.71","-39.95"
"61.2","2025-03-02"," 4:00:00 PM","2025-03-02"," 4:41:00 PM","PE","85600","Sell","0.01","55.16","4.40","43.35"
"62","2025-03-03"," 4:00:00 PM","2025-03-03"," 4:33:00 PM","","","","","","","-128.89"
"62.1","2025-03-03"," 4:00:00 PM","2025-03-03"," 4:33:00 PM","CE","92200","Sell","0.01","200.96","502.40","-255.85"
"62.2","2025-03-03"," 4:00:00 PM","2025-03-03"," 4:33:00 PM","PE","91800","Sell","0.01","179.62","29.81","127.50"
"63","2025-03-04"," 4:00:00 PM","2025-03-04"," 4:43:00 PM","","","","","","","-15.15"
"63.1","2025-03-04"," 4:00:00 PM","2025-03-04"," 4:43:00 PM","CE","83800","Sell","0.01","287.36","552.72","-225.25"
"63.2","2025-03-04"," 4:00:00 PM","2025-03-04"," 4:43:00 PM","PE","83400","Sell","0.01","269.04","21.50","210.80"
"64","2025-03-05"," 4:00:00 PM","2025-03-05"," 4:05:00 PM","","","","","","","-130.86"
"64.1","2025-03-05"," 4:00:00 PM","2025-03-05"," 4:05:00 PM","CE","89800","Sell","0.01","222.34","555.85","-283.90"
"64.2","2025-03-05"," 4:00:00 PM","2025-03-05"," 4:05:00 PM","PE","89400","Sell","0.01","221.33","41.77","153.00"
"65","2025-03-06"," 4:00:00 PM","2025-03-06"," 4:07:00 PM","","","","","","","-35.02"
"65.1","2025-03-06"," 4:00:00 PM","2025-03-06"," 4:07:00 PM","CE","91800","Sell","0.01","150.29","44.50","90.10"
"65.2","2025-03-06"," 4:00:00 PM","2025-03-06"," 4:07:00 PM","PE","91400","Sell","0.01","98.01","245.00","-124.95"
"66","2025-03-07"," 4:00:00 PM","2025-03-07"," 4:51:00 PM","","","","","","","95.95"
"66.1","2025-03-07"," 4:00:00 PM","2025-03-07"," 4:51:00 PM","CE","89200","Sell","0.01","193.89","223.95","-25.50"
"66.2","2025-03-07"," 4:00:00 PM","2025-03-07"," 4:51:00 PM","PE","88800","Sell","0.01","155.39","12.45","121.55"
"67","2025-03-08"," 4:00:00 PM","2025-03-08"," 4:41:00 PM","","","","","","","1.76"
"67.1","2025-03-08"," 4:00:00 PM","2025-03-08"," 4:41:00 PM","CE","86400","Sell","0.01","83.09","6.65","64.60"
